'000009','2015-03-31',90669.70,90331.60,338.11,0,0,0,0,89343.20,59458.30,0,0,0,0,0,0,0,0,0,0,1546.57,9554.00,12781.90,5375.80,626.67,5082.30,5282.38,128.84,0,0,0,0,0,11691.20,1060.38,47.45,9.64,12704.10,2135.08,0,10569.10,5557.97,5011.08,0.03,0.03,313.97,10883.00,5860.87,5022.15
'000004','2015-12-31',12045.40,12045.40,0,0,0,0,0,11113.60,7795.71,0,0,0,0,0,0,0,0,0,0,645.79,852.20,1832.58,-24.22,11.58,0,81.89,0,0,0,0,0,0,1013.70,78.78,11.62,3.76,1080.86,395.15,0,685.72,124.71,561.00,0.01,0.01,0,685.72,124.71,561.00
'000004','2015-09-30',8889.48,8889.48,0,0,0,0,0,8041.75,5700.92,0,0,0,0,0,0,0,0,0,0,491.51,642.36,1240.67,-33.55,-0.16,0,87.53,0,0,0,0,0,0,935.26,64.73,1.27,0,998.72,254.50,0,744.21,237.67,506.54,0.03,0.03,0,744.21,237.67,506.54
'000004','2015-06-30',5954.58,5954.58,0,0,0,0,0,5288.20,3813.69,0,0,0,0,0,0,0,0,0,0,345.65,377.38,784.85,-33.37,0,0,-12.79,0,0,0,0,0,0,653.60,3.85,0.93,0,656.52,215.46,0,441.07,121.22,319.84,0.01,0.01,0,441.07,121.22,319.84
'000004','2015-03-31',2093.73,2093.73,0,0,0,0,0,2204.09,1150.60,0,0,0,0,0,0,0,0,0,0,236.75,163.82,694.97,-42.05,0,0,-6.39,0,0,0,0,0,0,-116.75,2.97,0.02,0,-113.79,61.94,0,-175.73,-185.37,9.64,-0.02,-0.02,0,-175.73,-185.37,9.64
'000006','2015-12-31',365431.00,365431.00,0,0,0,0,0,305879.00,238834.00,0,0,0,0,0,0,0,0,0,0,28281.10,8812.48,6463.30,22977.60,510.53,0,-341.40,-393.13,0,0,0,0,0,59210.30,636.54,534.92,4.77,59311.90,15433.30,0,43878.60,41675.30,2203.31,0.31,0.31,117.28,43995.90,41792.60,2203.31
'000006','2015-09-30',230546.00,230546.00,0,0,0,0,0,191663.00,148297.00,0,0,0,0,0,0,0,0,0,0,17740.60,4606.38,3525.92,17137.10,356.04,0,-76.41,-87.92,0,0,0,0,0,38806.50,326.74,522.06,2.28,38611.20,9851.50,0,28759.70,27682.40,1077.24,0.21,0.21,9.32,28769.00,27691.80,1077.24
'000006','2015-06-30',202261.00,202261.00,0,0,0,0,0,165983.00,134026.00,0,0,0,0,0,0,0,0,0,0,15119.90,2736.74,2463.79,11422.60,213.39,0,-17.10,-17.10,0,0,0,0,0,36261.80,302.45,518.12,0.62,36046.10,9208.08,0,26838.00,25808.30,1029.74,0.19,0.19,113.39,26951.40,25921.70,1029.74
'000006','2015-03-31',138923.00,138923.00,0,0,0,0,0,110773.00,92719.90,0,0,0,0,0,0,0,0,0,0,10121.40,842.37,1379.53,5639.56,70.61,0,-11.48,-11.48,0,0,0,0,0,28138.40,5.12,0.62,0.62,28142.90,7091.21,0,21051.70,20162.30,889.43,0.15,0.15,52.77,21104.50,20215.10,889.43
'000001','2015-12-31',9616300.00,6609900.00,13164900.00,6555000.00,2644500.00,2918500.00,274000.00,0,0,0,-57300.00,0,-57300.00,392400.00,4600.00,10700.00,16100.00,6726800.00,667100.00,3011200.00,3048500.00,0,0,0,2889500.00,4000.00,8900.00,2884600.00,698100.00,0,2186500.00,4365600.00,6552100.00,218700.00,0,841300.00,0,5492100.00,0,0,198800.00,0,5293300.00,1.56,1.56
'000001','2015-09-30',7115200.00,4820600.00,9922500.00,5101900.00,2022300.00,2214400.00,192100.00,0,0,0,-57100.00,0,-57100.00,308100.00,0,9700.00,11600.00,4784700.00,504600.00,2286600.00,1993500.00,0,0,0,2330500.00,2100.00,4000.00,2328600.00,554600.00,0,1774000.00,0,0,0,0,0,0,0,0,0,0,0,0,1.27,1.27
'000001','2015-06-30',4657500.00,3111800.00,6586400.00,3474600.00,1372200.00,1496100.00,123900.00,0,0,0,-51500.00,0,-51500.00,210400.00,3500.00,8500.00,6100.00,3130800.00,338000.00,1500500.00,1292300.00,0,0,0,1526700.00,1300.00,2100.00,1525900.00,367400.00,0,1158500.00,4365600.00,5524100.00,0,0,0,0,5524100.00,0,0,198800.00,0,5325300.00,0.84,0.84
'000001','2015-03-31',2067100.00,1514400.00,3246400.00,1732000.00,538700.00,596700.00,58000.00,0,0,0,-29800.00,0,-29800.00,46400.00,0,-5800.00,3200.00,1322400.00,157200.00,690100.00,475100.00,0,0,0,744700.00,200.00,1200.00,743700.00,180800.00,0,562900.00,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0.41
